user_id,application_id,status_id,response,hours_online,program_name,application_type_name,payment_plan,professional_assoc,referrer,practice_type,home_state,work_state,gender,home_country,work_country,job_title,curriculum_id,sum
1491,6530,G,24,1970,IHeLp 2014 Summer,Regular,2 Payments,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 4,889.1239288888887
1491,6530,G,41,5447,IHeLp 2014 Summer,Regular,2 Payments,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 1,991.3453255555555
1491,6530,G,22,4404,IHeLp 2014 Summer,Regular,2 Payments,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 3,1161.7357733333333
1491,6530,G,23,8575,IHeLp 2014 Summer,Regular,2 Payments,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 2,994.3326925000001
2314,6520,G,53,7450,IHeLp 2014 Summer,Regular,2 Payments,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 1,915.0496847222224
2314,6520,G,34,2337,IHeLp 2014 Summer,Regular,2 Payments,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 4,956.250588888889
2314,6520,G,39,10810,IHeLp 2014 Summer,Regular,2 Payments,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 2,958.1354516666668
2314,6520,G,42,5697,IHeLp 2014 Summer,Regular,2 Payments,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 3,985.1261575
4349,13825,G,20,1808,IHeLp 2017 Summer,Regular,2 Payments,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 4,678.88792
4349,13825,G,1,201,IHeLp 2017 Summer,Regular,2 Payments,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Orientation,239.78370444444442
4349,13825,G,32,4519,IHeLp 2017 Summer,Regular,2 Payments,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 2,794.0818072222223
4349,13825,G,20,6126,IHeLp 2017 Summer,Regular,2 Payments,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 3,765.7584511111113
4349,13825,G,46,4921,IHeLp 2017 Summer,Regular,2 Payments,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 1,885.0240755555554
5965,6611,G,49,5176,IHeLp 2014 Summer,Regular,2 Payments,Registered Nurse,Other,Surgery,,,F,,,,Unit 1,981.9848122222223
5965,6611,G,16,1796,IHeLp 2014 Summer,Regular,2 Payments,Registered Nurse,Other,Surgery,,,F,,,,Unit 4,672.5456313888889
5965,6611,G,28,8029,IHeLp 2014 Summer,Regular,2 Payments,Registered Nurse,Other,Surgery,,,F,,,,Unit 2,942.3957063888887
5965,6611,G,12,4014,IHeLp 2014 Summer,Regular,2 Payments,Registered Nurse,Other,Surgery,,,F,,,,Unit 3,893.7496783333332
6843,13717,G,37,2382,IHeLp 2017 Spring,Scholarship,6 Monthly Payments,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 4,900.1616250000002
6843,13717,G,40,8407,IHeLp 2017 Spring,Scholarship,6 Monthly Payments,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 3,929.2802127777776
6843,13717,G,52,6865,IHeLp 2017 Spring,Scholarship,6 Monthly Payments,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 1,840.2414719444445
6843,13717,G,34,6305,IHeLp 2017 Spring,Scholarship,6 Monthly Payments,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 2,930.4041894444445
