user_id,application_id,status_id,payment_plan,response,hours_online,program_name,application_type_name,professional_assoc,referrer,practice_type,home_state,work_state,gender,home_country,work_country,job_title,curriculum_id,check
1491,6530,G,2 Payments,24,34147,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 4,889.1239288888887
1491,6530,G,2 Payments,22,40615,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 3,1161.7357733333333
1491,6530,G,2 Payments,23,65061,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 2,994.3326925
1491,6530,G,2 Payments,41,55360,IHeLp 2014 Summer,Regular,Other,Other,Other,NV,NV,F,US,US,Assistant Dean for Clinical Curriculum,Unit 1,991.3453255555555
2314,6520,G,2 Payments,39,122909,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 2,958.1354516666668
2314,6520,G,2 Payments,42,76727,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 3,985.1261575
2314,6520,G,2 Payments,53,104583,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 1,915.0496847222224
2314,6520,G,2 Payments,34,64509,IHeLp 2014 Summer,Regular,Other,Brochure/Mailing,Fam_Prac,,WI,F,,US,Director Integrative Medicine,Unit 4,956.250588888889
4349,13825,G,2 Payments,1,3194,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Orientation,239.7837044444444
4349,13825,G,2 Payments,46,24784,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 1,885.0240755555554
4349,13825,G,2 Payments,20,16522,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 4,678.88792
4349,13825,G,2 Payments,32,24784,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 2,794.0818072222223
4349,13825,G,2 Payments,20,27537,IHeLp 2017 Summer,Regular,Registered Nurse,Other,Fam_Prac,KY,KY,F,USA,USA,Owner/Administrator,Unit 3,765.7584511111113
5965,6611,G,2 Payments,16,47252,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Surgery,,,F,,,,Unit 4,672.5456313888889
5965,6611,G,2 Payments,12,56201,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Surgery,,,F,,,,Unit 3,893.7496783333332
5965,6611,G,2 Payments,49,76605,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Surgery,,,F,,,,Unit 1,981.9848122222224
5965,6611,G,2 Payments,28,90029,IHeLp 2014 Summer,Regular,Registered Nurse,Other,Surgery,,,F,,,,Unit 2,942.3957063888887
6843,13717,G,6 Monthly Payments,52,67927,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 1,840.2414719444445
6843,13717,G,6 Monthly Payments,1,8410,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Orientation,674.9571352777778
6843,13717,G,6 Monthly Payments,34,67927,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 2,930.4041894444445
6843,13717,G,6 Monthly Payments,37,45285,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 4,900.1616250000003
6843,13717,G,6 Monthly Payments,40,75475,IHeLp 2017 Spring,Scholarship,Other,CIM faculty,Pediatrics,CO,CO,F,USA,USA,Physician Assistant Pediatrics,Unit 3,929.2802127777776
7168,6111,G,6 monthly payments,25,48370,IHeLp 2014 Summer,Regular,TCM/OM practitioner,AF member,Other,,,F,,,,Unit 4,661.1627169444445
7168,6111,G,6 monthly payments,34,57531,IHeLp 2014 Summer,Regular,TCM/OM practitioner,AF member,Other,,,F,,,,Unit 3,847.0950344444444
7168,6111,G,6 monthly payments,44,78419,IHeLp 2014 Summer,Regular,TCM/OM practitioner,AF member,Other,,,F,,,,Unit 1,920.1925050000001
7168,6111,G,6 monthly payments,36,92160,IHeLp 2014 Summer,Regular,TCM/OM practitioner,AF member,Other,,,F,,,,Unit 2,946.0138088888887
7199,6380,G,1 Payment,44,130992,IHeLp 2014 Summer,Regular,Registered Dietitian,CIM faculty,Other,,,F,,,,Unit 1,795.2672722222223
7199,6380,G,1 Payment,17,153946,IHeLp 2014 Summer,Regular,Registered Dietitian,CIM faculty,Other,,,F,,,,Unit 2,937.773185277778
7199,6380,G,1 Payment,29,96101,IHeLp 2014 Summer,Regular,Registered Dietitian,CIM faculty,Other,,,F,,,,Unit 3,1012.1172966666667
7199,6380,G,1 Payment,33,80799,IHeLp 2014 Summer,Regular,Registered Dietitian,CIM faculty,Other,,,F,,,,Unit 4,721.9590386111108
8451,6120,G,2 Payments,20,188335,IHeLp 2014 Summer,Regular,Registered Nurse,DrWeil,Other,,,F,Canada,,Registered Nurse,Unit 2,871.152761388889
8451,6120,G,2 Payments,20,117569,IHeLp 2014 Summer,Regular,Registered Nurse,DrWeil,Other,,,F,Canada,,Registered Nurse,Unit 3,962.8013333333333
